TRINCIATI PER PIPA;ITALIA;980;130.0;0.8;0.5;5.2;0.4;8059145100016;8059145200013;10
SIGARETTE;LUCKY STRIKE RED;451;240.0;1.0;1.0;4.8;0.2;87196429;4031300006672;10
SIGARI;PEDRONI PINA COLADA;2329;100.0;1.2;1.2;1.0;0.2;8059145100900;NO;20
SIGARETTE;ROTHMANS OF LONDON WHITE;3012;210.0;1.0;1.0;4.2;0.2;5000219023888;5000219023895;10
SIGARETTE;YUMA ORGANIC GIALLA;2431;225.0;0.0;0.0;4.5;0.2;5452002801751;5452002801768;10
SIGARETTE;BENSON & HEDGES BLUE;2982;207.5;6.0;5.0;4.15;0.2;4033100045844;4033100045851;10
SIGARETTE;WINSTON ONE;1248;225.0;1.0;1.0;4.5;0.2;40329581;4033100009280;10
TRINCIATI PER SIGARETTA;WINSTON BLUE (15G) ;3041;166.67;2.9;2.2;2.50005;0.15;5010175819746;5010175819753;10
SIGARETTE;MS BLU;149;225.0;0.0;0.0;4.5;0.2;8027463101497;8027463201494;10
SIGARETTE;WINSTON XS BLUE;2700;225.0;2.0;2.0;4.5;0.2;4033100037672;4033100037689;10
TRINCIATI PER PIPA;FORTE;276;117.5;1.1;1.0;4.7;0.4;8059145100023;8059145200020;10
TRINCIATI PER SIGARETTA;FORTUNA BLUE 20 G;1996;185.0;2.6;2.6;3.7;0.2;3258175992669;3258172992662;10
SIGARETTE;DIANA SLIM BLU;913;225.0;4.0;3.0;4.5;0.2;40235875;4023500001267;10
TRINCIATI PER SIGARETTA;ORIGENES;2293;185.0;0.0;0.0;5.55;0.3;8710900082755;NO;10
TRINCIATI PER SIGARETTA;PALL MALL FREE;2671;186.67;0.9;0.9;2.8000503;0.15;8723900203419;NO;10
SIGARI;LA PAZ 5 WILDE CIGARROS AROMA;719;108.0;1.5;1.5;2.7;0.25;8719800150014;8719800150717;10
TRINCIATI PER SIGARETTA;BLACK DEVIL SMOOTH FLAVOUR;2256;180.0;0.2;0.2;7.2;0.2;8710151561962;NO;5
SIGARETTE;MS INTERNATIONAL 100'S;60;225.0;0.0;0.0;4.5;0.2;8027463100605;8027463200602;10
SIGARETTI;AGIO MINI MEHARI'S JAVA;631;152.0;0.7;0.6;3.8;0.25;8710622511779;NO;10
SIGARETTE;KENT SILVER;1220;260.0;1.0;1.0;5.2;0.2;42145394;5410833702685;10
TRINCIATI PER SIGARETTA;LUCKY STRIKE GUSTO AUTENTICO BLU;2764;186.67;1.0;0.7;2.8000503;0.15;8723900207073;8723900207080;10
TRINCIATI PER SIGARETTA;YUMA ORGANIC;2454;190.0;0.2;0.2;5.7000003;0.15;5452002801904;NO;5
SIGARETTE;JPS RED 100;2287;210.0;1.0;0.0;4.2;0.2;3258171940176;3258172940175;10
SIGARETTE;LUCKY STRIKE GUSTO AUTENTICO BLU DA 10;2615;240.0;0.0;0.0;2.4;0.2;59931003;5998900412557;20
SIGARETTE;ROTHMANS OF LONDON BLUE 20;2652;210.0;6.0;5.0;4.2;0.2;59460626;5948530003861;10
SIGARETTE;DIANA ROSSA KS ;233;225.0;12.0;-1.0;4.5;0.2;40235028;4023500030007;10
SIGARETTI;MOODS SILVER;2619;126.66;0.4;0.4;3.7998002;0.3;4004018012600;4004018015014;10
TRINCIATI PER SIGARETTA;JPS BLUE 10G;2911;200.0;3.4;3.2;2.0;0.1;8710900009523;8710900809536;10
SIGARETTE;GAULOISES BLONDES ROSSA DA 10;1773;220.0;0.0;0.0;2.2;0.2;30030077;NO;20
SIGARETTE;WINSTON BLUE;338;225.0;10.0;4.0;4.5;0.2;40329574;4032900005805;10
SIGARETTI;PANTER DESSERT;1277;90.0;1.2;1.1;4.5;0.5;8710622601623;NO;10
SIGARETTE;ELIXYR MENTHOL;1719;210.0;2.0;1.0;4.2;0.2;54503670;5450021007932;10
SIGARETTE;VIRGINIA SLIMS NERA;2190;230.0;0.0;0.0;4.6;0.2;80746874;8032817680245;10
SIGARETTE;JPS RED SOFT;2957;200.0;0.0;0.0;4.0;0.2;4030600091722;NO;10
TRINCIATI PER SIGARETTA;CAMEL ESSENTIAL 80G;2637;181.25;0.2;0.0;14.5;0.4;4033100024191;NO;5
SIGARETTE;MARLBORO GOLD BEYOND;2572;260.0;2.0;2.0;5.2;0.2;80774525;8032817680511;10
TRINCIATI PER SIGARETTA;LUCKY STRIKE GUSTO AUTENTICO 50 G;2607;186.0;0.0;0.0;9.3;0.25;8723900202535;NO;5
TRINCIATI PER SIGARETTA;BREAK ORIGINAL 80 GR;2744;195.0;1.0;1.0;15.599999;0.08;5710840081552;NO;1
SIGARETTE;DIANA BLU KS SOFT;406;225.0;3.0;2.0;4.5;0.2;87248319;4023500030038;10
SIGARETTE;PETER STUYVESANT INTERNATIONAL;348;220.0;1.0;1.0;4.4;0.2;40307947;4030600005767;10
TRINCIATI PER SIGARETTA;OLD HOLBORN 25GR;2528;200.0;0.9;0.9;5.0;0.25;5010175800270;NO;10
